name,team,kills,deaths,attacker_x,attacker_y,attacker_z,attacker_pitch,attacker_yaw,attacker_ducked,victim_x,victim_y,victim_z,victim_pitch,victim_yaw,victim_ducked,wallbang,isHeadshot,isHacker
n00bie,2,110,0,400.9665222167969,432.3036193847656,-0.46875,359.9505615234375,152.1881103515625,0,128,576,-0.4687480926513672,0.0384521484375,333.984375,0,0,1,1
n00bie,2,111,0,400.9665222167969,432.3036193847656,-0.46875,0.1702880859375,153.017578125,0,-256,768,-0.4687502384185791,0.0714111328125,335.0885009765625,0,0,1,1
n00bie,2,112,0,400.9665222167969,432.3036193847656,-0.46875,0.230712890625,159.9224853515625,0,-512,768,-0.4687502384185791,0.087890625,341.455078125,0,0,1,1
n00bie,2,113,0,400.9665222167969,432.3036193847656,-0.46875,0.2581787109375,164.9542236328125,0,-128,576,-0.4687519073486328,0.0823974609375,345.8221435546875,0,0,1,1
n00bie,2,115,0,400.9665222167969,432.3036193847656,-0.46875,0.3131103515625,169.771728515625,0,-384,576,-0.46875,0.098876953125,350.3594970703125,0,0,1,1
n00bie,2,115,0,400.9665222167969,432.3036193847656,-0.46875,0.867919921875,172.6336669921875,0,256,448,-0.46875,0.10986328125,354.3035888671875,0,0,1,1
n00bie,2,116,0,400.9665222167969,432.3036193847656,-0.46875,0.4339599609375,177.6324462890625,0,128,576,-0.4687480926513672,0.15380859375,357.099609375,0,0,1,1
n00bie,2,117,0,400.9665222167969,432.3036193847656,-0.46875,0.010986328125,177.6544189453125,0,0,448,-0.46875,0.1373291015625,358.0169677734375,0,0,1,1
n00bie,2,118,0,400.9665222167969,432.3036193847656,-0.46875,0.263671875,178.43994140625,0,-128,448,-0.46875,0.186767578125,358.5882568359375,0,0,1,1
n00bie,2,119,0,400.9665222167969,432.3036193847656,-0.46875,0.2801513671875,160.0762939453125,0,-512,768,-0.4687502384185791,0.2142333984375,341.5484619140625,0,0,1,1
n00bie,2,120,0,400.9665222167969,432.3036193847656,-0.46875,0.2911376953125,165.4376220703125,0,-384,576,-0.46875,0.2252197265625,346.146240234375,0,0,1,1
n00bie,2,121,0,400.9665222167969,432.3036193847656,-0.46875,0.6207275390625,175.93505859375,0,128,576,-0.4687480926513672,0.2362060546875,354.451904296875,0,0,1,1
n00bie,2,122,0,400.9665222167969,432.3036193847656,-0.46875,0.3790283203125,178.59375,0,0,448,-0.46875,0.252685546875,358.0718994140625,0,0,1,1
n00bie,2,124,0,400.9665222167969,432.3036193847656,-0.46875,0.428466796875,179.2144775390625,0,256,448,-0.46875,0.208740234375,358.8189697265625,0,0,1,1
n00bie,2,124,0,400.9665222167969,432.3036193847656,-0.46875,0.362548828125,178.9178466796875,0,-128,448,-0.46875,0.2691650390625,358.5443115234375,0,0,1,1
n00bie,2,125,0,400.9665222167969,432.3036193847656,-0.46875,0.4559326171875,177.6324462890625,0,-512,768,-0.4687502384185791,0.2801513671875,357.0611572265625,0,0,1,1
n00bie,2,126,0,400.9665222167969,432.3036193847656,-0.46875,0.3350830078125,169.78271484375,0,-384,576,-0.46875,0.28564453125,350.5133056640625,0,0,1,1
n00bie,2,127,0,400.9665222167969,432.3036193847656,-0.46875,0.28564453125,160.0103759765625,0,128,576,-0.4687480926513672,0.2911376953125,341.4385986328125,0,0,1,1
n00bie,2,129,0,400.9665222167969,432.3036193847656,-0.46875,0.3680419921875,165.43212890625,0,0,448,-0.46875,0.296630859375,346.0198974609375,0,0,1,1
n00bie,2,129,0,400.9665222167969,432.3036193847656,-0.46875,0.24169921875,152.3748779296875,0,-128,576,-0.4687519073486328,0.24169921875,333.9788818359375,0,0,1,1
n00bie,2,130,0,400.9665222167969,432.3036193847656,-0.46875,0.24169921875,152.8692626953125,0,-256,768,-0.4687502384185791,0.2471923828125,334.5941162109375,0,0,1,1
n00bie,2,131,0,400.9665222167969,432.3036193847656,-0.46875,2.230224609375,139.7186279296875,0,0,768,-0.4687519073486328,0.2471923828125,322.5146484375,0,0,1,1
n00bie,2,132,0,400.9665222167969,432.3036193847656,-0.46875,0.98876953125,113.2305908203125,0,256,768,-0.46875,0.3076171875,298.4820556640625,0,0,1,1
n00bie,2,133,0,400.9665222167969,432.3036193847656,-0.46875,0.6427001953125,71.5484619140625,0,512,768,-0.4687519073486328,0.3076171875,260.057373046875,0,0,1,1
n00bie,2,134,0,400.9665222167969,432.3036193847656,-0.46875,0.1318359375,96.328125,0,384,576,-0.46875,0.2471923828125,281.8487548828125,0,0,1,1
n00bie,2,135,0,400.9665222167969,432.3036193847656,-0.46875,0.2911376953125,159.80712890625,0,-128,576,-0.4687519073486328,0.3021240234375,341.246337890625,0,0,1,1
n00bie,2,137,0,400.9665222167969,432.3036193847656,-0.46875,1.4556884765625,165.12451171875,0,0,768,-0.4687519073486328,0.296630859375,345.8441162109375,0,0,1,1
n00bie,2,137,0,400.9665222167969,432.3036193847656,-0.46875,3.6968994140625,169.6014404296875,0,0,448,-0.46875,0.230712890625,350.15625,0,0,1,1
n00bie,2,138,0,400.9665222167969,432.3036193847656,-0.46875,4.9713134765625,173.8092041015625,0,-128,448,-0.46875,0.2911376953125,354.1497802734375,0,0,1,1
n00bie,2,140,0,400.9665222167969,432.3036193847656,-0.46875,6.1083984375,175.93505859375,0,128,576,-0.4687480926513672,0.28564453125,356.81396484375,0,0,1,1
n00bie,2,140,0,400.9665222167969,432.3036193847656,-0.46875,6.3336181640625,176.8304443359375,0,-512,768,-0.4687502384185791,0.2801513671875,357.78076171875,0,0,1,1
n00bie,2,141,0,400.9665222167969,432.3036193847656,-0.46875,5.1800537109375,177.20947265625,0,-384,576,-0.46875,0.274658203125,358.2806396484375,0,0,1,1
n00bie,2,142,0,400.9665222167969,432.3036193847656,-0.46875,5.592041015625,177.2589111328125,0,256,448,-0.46875,0.2691650390625,358.5882568359375,0,0,1,1
n00bie,2,143,0,400.9665222167969,432.3036193847656,-0.46875,9.569091796875,167.882080078125,0,0,448,-0.46875,0.19775390625,345.6463623046875,0,0,1,1
n00bie,2,144,0,400.9665222167969,432.3036193847656,-0.46875,10.6072998046875,179.8516845703125,0,-128,448,-0.46875,0.24169921875,354.17724609375,0,0,1,1
n00bie,2,145,0,400.9665222167969,432.3036193847656,-0.46875,10.1239013671875,179.6209716796875,0,128,576,-0.4687480926513672,0.2362060546875,356.846923828125,0,0,1,1
n00bie,2,147,0,400.9665222167969,432.3036193847656,-0.46875,10.3546142578125,164.498291015625,0,-128,576,-0.4687519073486328,0.1812744140625,340.9881591796875,0,0,0,1
n00bie,2,148,0,400.9665222167969,432.3036193847656,-0.46875,10.5908203125,155.4071044921875,0,-256,768,-0.4687502384185791,0.1812744140625,333.9129638671875,0,0,1,1
